Sync Time,Video #,Gaze Target,Target Code,Index
05:23.4,Red_2_1,Test,2,1
05:25.1,Red_2_1,Computer,1,1
05:27.8,Red_2_1,Orange,30,1
05:28.2,Red_2_1,Blue,33,1
05:28.4,Red_2_1,Computer,1,1
05:29.5,Red_2_1,Wandering/Distracted,19,1
05:36.7,Red_2_1,Computer,1,1
05:37.3,Red_2_1,Orange,30,1
05:37.8,Red_2_1,Professor,11,1
05:38.6,Red_2_1,Blue,33,1
05:39.2,Red_2_1,Orange,30,1
05:40.2,Red_2_1,Blue,33,1
05:40.6,Red_2_1,Eraser,19,1
05:42.6,Red_2_1,Blue,33,1
05:43.6,Red_2_1,BlueNbook,7,1
05:45.8,Red_2_1,Blue,33,1
05:49.4,Red_2_1,BlueNbook,7,1
05:50.1,Red_2_1,Blue,33,1
05:50.6,Red_2_1,Indetermined,92,1
05:51.4,Red_2_1,Computer,1,1
05:51.9,Red_2_1,Blue,33,1
05:53.6,Red_2_1,Computer,1,1
05:58.1,Red_2_1,Professor,11,1
05:59.1,Red_2_1,Computer,1,1
06:00.3,Red_2_1,Orange,30,1
06:01.1,Red_2_1,Blue,33,1
06:02.3,Red_2_1,Eraser,19,1
06:05.6,Red_2_1,Computer,1,1
06:07.6,Red_2_1,Blue,33,1
06:08.3,Red_2_1,Computer,1,1
06:10.6,Red_2_1,Blue,33,1
06:11.2,Red_2_1,Orange,30,1
06:12.4,Red_2_1,Computer,1,1
06:16.4,Red_2_1,Blue,33,1
06:18.6,Red_2_1,Computer,1,1
06:20.1,Red_2_1,Distracted,19,1
06:20.8,Red_2_1,Computer,1,1
06:23.4,Red_2_1,Computer,1,1
08:28.2,Red_2_2,Indetermined,92,2
08:28.5,Red_2_2,Blue,33,2
08:29.2,Red_2_2,Computer,1,2
08:30.2,Red_2_2,Blue,33,2
08:33.2,Red_2_2,Computer,1,2
08:35.4,Red_2_2,Distracted,19,2
08:36.9,Red_2_2,Computer,1,2
08:37.9,Red_2_2,Blue,33,2
08:39.1,Red_2_2,Computer,1,2
08:40.8,Red_2_2,Distracted,19,2
08:43.1,Red_2_2,Blue,33,2
08:43.8,Red_2_2,Computer,1,2
08:44.6,Red_2_2,Blue,33,2
08:45.1,Red_2_2,Computer,1,2
08:50.3,Red_2_2,Orange,30,2
08:50.8,Red_2_2,Computer,1,2
08:53.8,Red_2_2,Orange,30,2
08:54.2,Red_2_2,Blue,33,2
08:54.4,Red_2_2,Orange,30,2
08:56.1,Red_2_2,BlueNbook,7,2
08:56.6,Red_2_2,Orange,30,2
08:57.3,Red_2_2,Indetermined,92,2
08:58.0,Red_2_2,Eraser,19,2
08:58.5,Red_2_2,Blue,33,2
09:02.8,Red_2_2,Indetermined,92,2
09:03.7,Red_2_2,Another team,13,2
09:28.2,Red_2_2,BlueNbook,7,2
09:55.2,Red_2_3,Orange,30,3
09:56.0,Red_2_3,OrangeCalc,8,3
09:56.2,Red_2_3,Computer,1,3
09:57.0,Red_2_3,Another team,13,3
09:59.0,Red_2_3,OrangeCalc,8,3
10:00.0,Red_2_3,Computer,1,3
10:00.7,Red_2_3,OrangeCalc,8,3
10:02.7,Red_2_3,Indetermined,92,3
10:03.7,Red_2_3,Orange,30,3
10:04.5,Red_2_3,RedCellphone,22,3
10:05.2,Red_2_3,Eraser,19,3
10:08.9,Red_2_3,RedPen,21,3
10:09.4,Red_2_3,OrangeCalc,8,3
10:09.7,Red_2_3,Computer,1,3
10:10.4,Red_2_3,Distracted,19,3
10:10.6,Red_2_3,BlueCalc,6,3
10:11.1,Red_2_3,Computer,1,3
10:11.6,Red_2_3,Indetermined,92,3
10:12.7,Red_2_3,Blue,33,3
10:13.1,Red_2_3,Computer,1,3
10:14.1,Red_2_3,Wandering,19,3
10:18.9,Red_2_3,RedWatch,19,3
10:22.1,Red_2_3,OrangeCalc,8,3
10:23.6,Red_2_3,Test,2,3
10:25.1,Red_2_3,Orange,30,3
10:25.9,Red_2_3,Test,2,3
10:26.6,Red_2_3,Distracted,19,3
10:27.7,Red_2_3,Indetermined,92,3
10:29.7,Red_2_3,Distracted,19,3
10:33.4,Red_2_3,OrangeCalc,8,3
10:36.9,Red_2_3,Test,2,3
10:37.5,Red_2_3,Computer,1,3
10:37.7,Red_2_3,Another team,13,3
10:38.7,Red_2_3,Test,2,3
10:47.5,Red_2_3,Computer,1,3
10:49.7,Red_2_3,Notes,12,3
10:52.2,Red_2_3,Another team,13,3
10:55.2,Red_2_3,Another team,13,3
19:49.3,Red_2_4,Computer,1,4
19:52.6,Red_2_4,BlueNbook,7,4
19:54.3,Red_2_4,Computer,1,4
20:12.6,Red_2_4,BlueNbook,7,4
20:15.1,Red_2_4,Computer,1,4
20:22.6,Red_2_4,BlueNbook,7,4
20:25.8,Red_2_4,Computer,1,4
20:34.5,Red_2_4,BlueNbook,7,4
20:35.1,Red_2_4,Blue,33,4
20:37.5,Red_2_4,Computer,1,4
20:38.3,Red_2_4,BlueNbook,7,4
20:38.8,Red_2_4,Blue,33,4
20:39.3,Red_2_4,BlueNbook,7,4
20:41.8,Red_2_4,Computer,1,4
20:46.0,Red_2_4,BlueNbook,7,4
20:47.2,Red_2_4,Computer,1,4
20:49.3,Red_2_4,Computer,1,4
21:14.4,Red_2_5,Computer,1,5
21:43.1,Red_2_5,Orange,30,5
21:43.7,Red_2_5,Indetermined,92,5
21:45.0,Red_2_5,Computer,1,5
21:49.3,Red_2_5,Blue,33,5
21:50.1,Red_2_5,Computer,1,5
21:55.7,Red_2_5,Blue,33,5
21:56.7,Red_2_5,BlueNbook,7,5
21:57.3,Red_2_5,Computer,1,5
21:58.9,Red_2_5,BlueNbook,7,5
22:00.2,Red_2_5,Computer,1,5
22:03.9,Red_2_5,BlueNbook,7,5
22:06.2,Red_2_5,Computer,1,5
22:07.5,Red_2_5,Blue,33,5
22:12.3,Red_2_5,Test,2,5
22:14.4,Red_2_5,Test,2,5
,,,,
,,,,
