Sync Time,Video #,Gaze Target,Target Code,Index
05:23.4,Red_2_1,Computer,1,1
05:28.8,Red_2_1,Professor,11,1
05:29.5,Red_2_1,Computer,1,1
05:34.9,Red_2_1,Professor,11,1
05:36.9,Red_2_1,Computer,1,1
05:40.2,Red_2_1,Professor,11,1
05:42.0,Red_2_1,Computer,1,1
05:44.8,Red_2_1,BlueNbook,7,1
05:47.3,Red_2_1,Computer,1,1
05:59.8,Red_2_1,Professor,11,1
06:02.3,Red_2_1,BlueNbook,7,1
06:03.8,Red_2_1,Computer,1,1
06:23.4,Red_2_1,Computer,1,1
08:28.2,Red_2_2,Computer,1,2
08:38.5,Red_2_2,Wandering,10,2
08:39.5,Red_2_2,Computer,1,2
08:54.6,Red_2_2,Red,30,2
08:55.4,Red_2_2,Wandering,10,2
08:57.9,Red_2_2,Computer,1,2
08:58.6,Red_2_2,Wandering,10,2
08:59.4,Red_2_2,Test,2,2
09:00.6,Red_2_2,Computer,1,2
09:07.1,Red_2_2,Another team,13,2
09:17.8,Red_2_2,Test,2,2
09:19.3,Red_2_2,Computer,1,2
09:20.9,Red_2_2,Another team,13,2
09:25.2,Red_2_2,Computer,1,2
09:27.1,Red_2_2,Another team,13,2
09:28.2,Red_2_2,Another team,13,2
09:55.2,Red_2_3,Computer,1,3
09:55.6,Red_2_3,OrangeCalc,8,3
09:58.6,Red_2_3,Computer,1,3
09:59.0,Red_2_3,BlueCalc,6,3
10:00.0,Red_2_3,OrangeCalc,8,3
10:00.2,Red_2_3,Computer,1,3
10:01.7,Red_2_3,BlueCalc,6,3
10:02.2,Red_2_3,BlueNbook,7,3
10:03.5,Red_2_3,Computer,1,3
10:14.1,Red_2_3,OrangeCalc,8,3
10:14.8,Red_2_3,Computer,1,3
10:15.6,Red_2_3,OrangeCalc,8,3
10:21.1,Red_2_3,Computer,1,3
10:22.1,Red_2_3,OrangeCalc,8,3
10:23.1,Red_2_3,Test,2,3
10:23.8,Red_2_3,Wandering,10,3
10:29.2,Red_2_3,OrangeCalc,8,3
10:31.4,Red_2_3,Test,2,3
10:32.0,Red_2_3,Computer,1,3
10:35.5,Red_2_3,OrangeCalc,8,3
10:37.0,Red_2_3,Test,2,3
10:37.7,Red_2_3,OrangeCalc,8,3
10:38.0,Red_2_3,Test,2,3
10:45.0,Red_2_3,Computer,1,3
10:45.5,Red_2_3,Test,2,3
10:49.0,Red_2_3,OrangeCalc,8,3
10:49.5,Red_2_3,Test,2,3
10:50.2,Red_2_3,Notes,12,3
10:51.2,Red_2_3,Another team,13,3
10:53.3,Red_2_3,Notes,12,3
10:54.0,Red_2_3,Test,2,3
10:55.2,Red_2_3,Test,2,3
19:49.3,Red_2_4,Computer,1,4
20:39.0,Red_2_4,BlueNbook,7,4
20:39.6,Red_2_4,Computer,1,4
20:45.5,Red_2_4,Test,2,4
20:46.5,Red_2_4,Computer,1,4
20:49.3,Red_2_4,Computer,1,4
21:14.4,Red_2_5,BlueNbook,7,5
21:15.2,Red_2_5,Computer,1,5
21:51.2,Red_2_5,BlueNbook,7,5
21:52.7,Red_2_5,Computer,1,5
21:54.0,Red_2_5,BlueNbook,7,5
21:55.7,Red_2_5,Computer,1,5
22:10.6,Red_2_5,Wandering,10,5
22:12.7,Red_2_5,Test,2,5
22:14.4,Red_2_5,Test,2,5
